name,longitude,latitude,pt
Arkansas Nuclear One,-93.23084454,35.3105401,'POINT(-93.23084454 35.3105401)'
Beaver Valley Unit 1,-80.4335294,40.62179325,'POINT(-80.4335294 40.62179325)'
Beaver Valley Unit 2,-80.43233415,40.62318801,'POINT(-80.43233415 40.62318801)'
Braidwood Generation Station Unit 1,-88.2290515,41.24313176,'POINT(-88.2290515 41.24313176)'
Braidwood Generation Station Unit 2,-88.2290465,41.24391079,'POINT(-88.2290465 41.24391079)'
Browns Ferry Unit 1,-87.11937533,34.70387739,'POINT(-87.11937533 34.70387739)'
Browns Ferry Unit 2,-87.11894564,34.70360412,'POINT(-87.11894564 34.70360412)'
Browns Ferry Unit 3,-87.11855242,34.70335417,'POINT(-87.11855242 34.70335417)'
Brunswick Nuclear Unit 1,-78.01009688,33.95788952,'POINT(-78.01009688 33.95788952)'
Brunswick Nuclear Unit 2,-78.0091462,33.9586691,'POINT(-78.0091462 33.9586691)'
Byron Unit 1,-89.28342275,42.07395802,'POINT(-89.28342275 42.07395802)'
Byron Unit 2,-89.28338495,42.07474928,'POINT(-89.28338495 42.07474928)'
Callaway,-91.78103515,38.76136051,'POINT(-91.78103515 38.76136051)'
Calvert Cliffs Unit 1,-76.44243007,38.43466731,'POINT(-76.44243007 38.43466731)'
Calvert Cliffs Unit 2,-76.44176239,38.43415543,'POINT(-76.44176239 38.43415543)'
Catawba Unit 1,-81.06942789,35.05120748,'POINT(-81.06942789 35.05120748)'
Catawba Unit 2,-81.06942408,35.05208864,'POINT(-81.06942408 35.05208864)'
Clinton Power Station,-88.83512219,40.17233501,'POINT(-88.83512219 40.17233501)'
Columbia Generating Station,-119.334012,46.47114753,'POINT(-119.334012 46.47114753)'
Comanche Peak Unit 1,-97.78509423,32.29792273,'POINT(-97.78509423 32.29792273)'
Comanche Peak Unit 2,-97.78501873,32.29872632,'POINT(-97.78501873 32.29872632)'
Cooper Nuclear Station,-95.6413817,40.36201261,'POINT(-95.6413817 40.36201261)'
D.C. Cook Unit 1,-86.56527336,41.97531348,'POINT(-86.56527336 41.97531348)'
D.C. Cook Unit 2,-86.56503501,41.97593495,'POINT(-86.56503501 41.97593495)'
Davis-Besse Nuclear Power Station,-83.08669625,41.59692513,'POINT(-83.08669625 41.59692513)'
Diablo Canyon Unit 1,-120.8549849,35.21220496,'POINT(-120.8549849 35.21220496)'
Diablo Canyon Unit 2,-120.8545349,35.21140596,'POINT(-120.8545349 35.21140596)'
Dresden Generating Station,-88.26786752,41.38989013,'POINT(-88.26786752 41.38989013)'
Farley Unit 1,-85.11179885,31.22274214,'POINT(-85.11179885 31.22274214)'
Farley Unit 2,-85.11178287,31.22351777,'POINT(-85.11178287 31.22351777)'
Fermi 2,-83.25789103,41.96291119,'POINT(-83.25789103 41.96291119)'
FitzPatrick,-76.41067199,43.52157819,'POINT(-76.41067199 43.52157819)'
Ginna Nuclear Power Plant,-77.30882773,43.27764413,'POINT(-77.30882773 43.27764413)'
Grand Gulf,-91.0485052,32.00724922,'POINT(-91.0485052 32.00724922)'
Harris,-78.95587987,35.63352588,'POINT(-78.95587987 35.63352588)'
Hatch,-82.34415356,31.93446631,'POINT(-82.34415356 31.93446631)'
Hope Creek,-75.53569684,39.46343735,'POINT(-75.53569684 39.46343735)'
LaSalle Generating Station,-88.66818906,41.24563941,'POINT(-88.66818906 41.24563941)'
Limerick Generating Station,-75.58736767,40.22424238,'POINT(-75.58736767 40.22424238)'
McGuire Unit 1,-80.94880173,35.43325424,'POINT(-80.94880173 35.43325424)'
McGuire Unit 2,-80.94785805,35.43313159,'POINT(-80.94785805 35.43313159)'
Millstone Unit 2,-72.16772313,41.31147989,'POINT(-72.16772313 41.31147989)'
Millstone Unit 3,-72.16757381,41.30973017,'POINT(-72.16757381 41.30973017)'
Monticello,-93.8490278,45.33368223,'POINT(-93.8490278 45.33368223)'
Nine Mile Point,-76.41072747,43.52156449,'POINT(-76.41072747 43.52156449)'
North Anna Unit 1,-77.79050327,38.06033928,'POINT(-77.79050327 38.06033928)'
North Anna Unit 2,-77.78962057,38.06060456,'POINT(-77.78962057 38.06060456)'
Oconee Unit 1,-82.8985329,34.79339568,'POINT(-82.8985329 34.79339568)'
Oconee Unit 2,-82.89885389,34.79414559,'POINT(-82.89885389 34.79414559)'
Oconee Unit 3,-82.89911401,34.79474551,'POINT(-82.89911401 34.79474551)'
Palisades,-86.31410841,42.32278638,'POINT(-86.31410841 42.32278638)'
Palo Verde Unit 1,-112.8627616,33.38985319,'POINT(-112.8627616 33.38985319)'
Palo Verde Unit 2,-112.8653472,33.38737234,'POINT(-112.8653472 33.38737234)'
Palo Verde Unit 3,-112.866606,33.38418122,'POINT(-112.866606 33.38418122)'
Peach Bottom Unit 2,-76.26955456,39.75939679,'POINT(-76.26955456 39.75939679)'
